#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661056355599756,50.6136396777001,41.9375401903305,17.13341,2.195465,2.068342,1.105654,1.624189,0.5185356,0.9626884,3.347236,193583034531856,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD ,1874772103769647104,0.0939189,1.508933E-05,0,GALAXY,
1237661060648273066,51.0139111014145,41.9335956108045,17.03672,2.301186,2.412901,1.321621,1.922663,0.6010418,1.09128,4.432404,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874783923519645696,0.1317853,2.284114E-05,0,GALAXY,
1237661056892600569,51.1685482381538,42.1122283222418,17.16803,2.741562,2.634983,1.502382,2.23011,0.7277279,1.132601,1.087398,35289867620368,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1874791894978947072,3.692886E-05,8.2368E-06,0,STAR,M0
1237661055282250414,51.0183719738762,40.7684762726827,17.12963,2.1437,2.220665,1.22492,1.760113,0.5351925,0.9957447,5.294717,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1875754792538630144,0.1334424,2.449775E-05,0,GALAXY,
1237661082125467913,48.9837918855729,40.6078238757415,16.40373,1.953835,2.242287,1.265202,1.820232,0.5550308,0.9770851,12.08129,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875828734695598080,0.1347859,2.180964E-05,0,GALAXY,
1237661059573874818,48.7727101478848,42.2179841474826,18.62355,1.719713,1.949223,1.140469,1.56146,0.4209919,0.808754,1.356768,123248650092632,DEBLEND_NOPEAK DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1875838630300248064,-1.446602E-05,8.890389E-06,0,STAR,K3
1237661059573941600,48.8917128555829,41.9964016734936,17.49291,2.365858,2.183035,1.200672,1.754763,0.5540905,0.9823627,4.245584,35255507616016,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP NOPETRO CHILD ,1875857321997920256,0.1140969,2.359585E-05,0,GALAXY,
1237661122387706712,48.9051885003885,41.6620638000619,17.37859,2.339487,2.163523,1.242395,1.740299,0.4979038,0.9211273,4.019577,175990848491792,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875858971265361920,0.1466239,1.981204E-05,0,GALAXY,
1237661059574006613,49.1251846652232,41.8848529640606,17.48358,2.349323,2.243109,1.251408,1.780048,0.5286407,0.9917011,3.753959,193583034531856,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP CHILD ,1875867217602570240,0.1339912,2.364775E-05,0,GALAXY,
1237661056892142802,50.1301192492618,42.8208300834835,17.25084,2.098158,2.055899,1.13213,1.658489,0.5263596,0.923769,3.889501,35255507620112,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875892781247916032,0.09559509,1.966811E-05,0,GALAXY,
1237661060648141856,50.659327110689,42.1588312564176,17.36739,2.417315,2.380318,1.340837,1.908689,0.567852,1.03948,3.423387,35255507484944,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 NOPETRO CHILD ,1875907899532797952,0.133692,2.046734E-05,0,GALAXY,
1237661121851491097,50.3289818337135,40.5257925540216,16.98603,2.178986,2.274929,1.289692,1.846457,0.5567646,0.9852371,5.776468,35255507484688,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 CHILD ,1874648133833615360,0.1545012,2.441008E-05,0,GALAXY,
1237661059574530886,50.4668689770366,41.3705401026461,18.0958,2.605005,2.025856,1.278723,1.768171,0.4894485,0.7471333,1.502858,193617394270296,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BAD_MOVING_FIT BINNED1 INTERP NODEBLEND CHILD BLENDED ,1874653081635940352,5.164137E-05,9.168931E-06,0,STAR,K7
1237661122388033863,49.9367551285574,41.3986865815753,17.1254,2.371679,2.041801,1.170483,1.675606,0.5051231,0.8713188,18.01605,35253360132368,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP NOPETRO CHILD ,1874671498455705600,0.1352367,2.437193E-05,0,GALAXY,
1237661059574399247,49.9883305149312,41.4458746990913,18.0516,2.7271,2.8172,1.565123,2.373089,0.8079662,1.252077,1.147057,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874672323089426432,6.116596E-05,8.59319E-06,0,STAR,M0
1237661082662470657,49.6101684670368,40.7477335975658,16.73056,2.136969,2.209334,1.237644,1.773087,0.5354424,0.9716902,7.304821,35253360001296,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOPETRO CHILD ,1874683593083611136,0.140307,1.858524E-05,0,GALAXY,
1237670458048119710,49.3251842130382,41.0951629449596,17.17741,1.94636,2.168104,1.180946,1.765947,0.585001,0.9871578,4.206388,35289867223384,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT MOVED BINNED1 NOPETRO NODEBLEND CHILD BLENDED ,1874684967473145856,0.1347003,1.642114E-05,0,GALAXY,STARFORMING
1237670458048119435,49.1911195737604,41.2502476248583,16.94715,2.371304,2.131212,1.185606,1.720402,0.5347958,0.9456062,5.274931,193583034535952,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874695687711516672,0.1304954,1.96307E-05,0,GALAXY,
1237661083199143948,49.2612760202228,41.2756095639857,17.60666,2.224884,2.11795,1.223053,1.714262,0.491209,0.8948975,3.039936,35253360922676,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY PEAKCENTER CHILD EDGE ,1874697062101051392,0.1343145,2.104332E-05,0,GALAXY,
1237661083198948546,48.8623519217073,41.4685722351831,17.24024,1.855412,2.20833,1.193502,1.769972,0.5764694,1.014828,3.983416,35255507484944,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 NOPETRO CHILD ,1874708881851049984,0.133898,1.993064E-05,0,GALAXY,
1237661055281332287,48.5498365377613,41.9667437146651,18.37156,3.338152,2.206362,1.378328,1.814053,0.4357243,0.8280334,1.306303,105622104313872,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874720426723141632,-2.676786E-05,8.382635E-06,0,STAR,K7
1237661059574007036,49.1061764946493,41.9367922608528,17.15317,2.328091,2.206551,1.235912,1.757078,0.5211658,0.9706383,4.629614,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874728123304536064,0.1134758,1.917917E-05,0,GALAXY,
