#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661059574007036,49.1061764946493,41.9367922608528,17.15317,2.328091,2.206551,1.235912,1.757078,0.5211658,0.9706383,4.629614,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1874728123304536064,0.1134758,1.917917E-05,0,GALAXY,
1237661059573941600,48.8917128555829,41.9964016734936,17.49291,2.365858,2.183035,1.200672,1.754763,0.5540905,0.9823627,4.245584,35255507616016,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP NOPETRO CHILD ,1874732246473140224,0.114085,2.050417E-05,0,GALAXY,
1237661056892208414,50.304642378151,42.7465568812758,17.15018,1.968157,2.026899,1.094482,1.600122,0.50564,0.9324169,2.826764,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1874769080112670720,0.08106846,1.717726E-05,0,GALAXY,
1237661060111402196,50.7499979455199,41.6323363181993,16.95242,2.185713,2.223492,1.244482,1.750311,0.5058289,0.9790096,6.720034,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874786672298715136,0.1329795,2.024555E-05,0,GALAXY,
1237661055282250414,51.0183719738762,40.7684762726827,17.12963,2.1437,2.220665,1.22492,1.760113,0.5351925,0.9957447,5.294717,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1875754792538630144,0.1334424,2.449775E-05,0,GALAXY,
1237661059574399247,49.9883305149312,41.4458746990913,18.0516,2.7271,2.8172,1.565123,2.373089,0.8079662,1.252077,1.147057,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875796848858392576,5.226525E-05,9.353527E-06,0,STAR,M0
1237661059573941600,48.8917128555829,41.9964016734936,17.49291,2.365858,2.183035,1.200672,1.754763,0.5540905,0.9823627,4.245584,35255507616016,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP NOPETRO CHILD ,1875857321997920256,0.1140969,2.359585E-05,0,GALAXY,
1237661059574007036,49.1061764946493,41.9367922608528,17.15317,2.328091,2.206551,1.235912,1.757078,0.5211658,0.9706383,4.629614,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875858696387454976,0.1134686,2.313029E-05,0,GALAXY,
1237661060647749098,49.839766744255,42.6829555112029,17.62867,1.899416,2.032232,1.071669,1.632782,0.5611134,0.9605637,3.052268,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875859795899082752,0.08086009,1.432121E-05,0,GALAXY,STARFORMING
1237661056892142802,50.1301192492618,42.8208300834835,17.25084,2.098158,2.055899,1.13213,1.658489,0.5263596,0.923769,3.889501,35255507620112,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY NOPETRO CHILD ,1875892781247916032,0.09559509,1.966811E-05,0,GALAXY,
