#Table1
labels,objID,ra,dec,r,u_g,g_z,g_r
0,1237661055281660877,49.6027522080411,41.5367374698063,18.24393,3.259443,2.572918,1.452351
0,1237661122387969309,49.8007032692538,41.4654759337847,19.33727,3.921835,2.882999,1.652855
0,1237661055281596077,49.3892567509159,41.5720951555635,19.4436,0.9744091,0.8735046,0.42313
0,1237661083199144825,49.359348013872,41.3355162432555,17.55119,1.983553,1.814596,0.9707489
0,1237661055281726833,49.5391469119783,41.4577011981716,18.19508,2.887321,2.50878,1.514282
0,1237661059574203833,49.7029025682171,41.7358997385276,19.18205,2.072138,2.27445,1.360561
0,1237661083199144307,49.3756882798822,41.3131551961883,16.44724,1.836525,1.359153,0.8011246
0,1237661122387838143,49.241064353829,41.4990864301001,18.44905,2.03817,2.095968,1.203882
0,1237661055281660354,49.5235184197161,41.5182228769557,18.18948,1.437931,1.546644,0.7836628
0,1237661055281595776,49.2744136639967,41.5706272026805,19.29786,4.13319,2.419987,1.412636
0,1237661055281661473,49.4507796093674,41.5244185292264,18.05545,1.893843,2.355289,1.288328
0,1237670458048446775,49.8839020898115,41.7174905840822,19.11043,2.124285,1.930006,1.064421
0,1237661059574268593,49.8498526825439,41.6619129501498,19.84847,1.961037,1.354614,0.7040176
0,1237661059574400487,49.9833659082789,41.4552606660974,18.84386,1.55584,1.950048,1.016344
0,1237661055281660368,49.5093532320236,41.5134711427494,21.59679,1.211895,0.3799782,-0.0686264
0,1237661122388033863,49.9367551285574,41.3986865815753,17.1254,2.371679,2.041801,1.170483
0,1237661122388034281,49.7624524404048,41.3079791063088,18.29481,2.638159,1.97917,1.101284
0,1237661055281725901,49.6469147464602,41.450467645262,19.41575,2.752846,2.704584,1.761635
0,1237661083199144672,49.4783603408726,41.2846440250849,18.19622,1.399605,0.814724,0.5241508
0,1237661055281725606,49.5705009821743,41.459046242828,20.76944,1.918211,2.446674,1.409834
0,1237661083199080163,49.2420270776599,41.445334295808,19.29897,1.421982,1.805445,1.054596
0,1237661059574269662,49.7874764395205,41.5292286819327,19.28735,2.378429,2.046179,1.155357
0,1237661055281660697,49.5475110283826,41.5225041803076,19.03877,1.858179,2.410738,1.334682
0,1237661083199144985,49.3664776873557,41.2861431983158,18.3949,1.877071,2.020618,1.154808
0,1237661055281595548,49.3302491922701,41.5381214191965,18.37996,1.604383,1.364458,0.7393112
