,objID,ra,dec,R_mag,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass,distance
19,1237661059574399621,50.1192252388923,41.4888413843425,14.70269,14.31973,1.535591,2.030753,1.87749,1.005064,1.53086,0.5257959,0.872426,5.59316,175956489797648,PSF_FLUX_INTERP DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED INTERP CHILD ,1875792450811881472,0.01812102,5.896984e-06,0,GALAXY,,7.88815655745139
20,1237661059574399450,50.1222973668195,41.5145661636805,14.78054,14.39764,1.385805,1.920898,1.727653,0.9469728,1.419871,0.4728985,0.7806797,19.86703,35287720923152,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1875903226608379904,0.02272653,7.10451e-06,0,GALAXY,,7.88968249991025
22,1237661122388034402,49.9066992302963,41.3800473541336,15.79804,15.43007,1.396773,2.037449,1.725286,0.8913355,1.3637,0.4723644,0.833951,12.31191,105622104313944,DEBLEND_NOPEAK DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NODEBLEND CHILD BLENDED ,1875796299102578688,0.01836348,1.54475e-05,0,GALAXY,,8.18335245220294
23,1237661059574268779,49.8640621036807,41.6352685675764,14.24414,13.85324,1.402718,1.666071,1.751706,0.9271002,1.374076,0.4469757,0.8246059,18.09395,1161118907240464,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875891406858381312,0.02587008,7.03041e-06,0,GALAXY,AGN,8.21518358558438
25,1237661055281725886,49.7712214276737,41.4702044779128,15.73157,15.36054,1.445647,1.647493,1.776888,0.8393183,1.336573,0.4972544,0.9375696,10.11014,175956489802256,PSF_FLUX_INTERP DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED INTERP COSMIC_RAY MANYPETRO CHILD ,1874678095525472256,0.05185063,5.627423e-06,0,GALAXY,STARFORMING,8.29589334807368
26,1237661059574399641,50.0308283659175,41.3882932987744,16.45989,16.08582,0.5717896,1.436605,0.9057541,0.5805645,0.8196449,0.2390804,0.3251896,1.360859,68988047360,STATIONARY BINNED1 INTERP COSMIC_RAY ,1875794649835137024,-0.000131474,9.619292e-06,0,STAR,F9,8.38988229473541
28,1237661059574268612,49.760046123573,41.5502349902431,14.87162,14.4973,1.376175,2.01246,1.710363,0.8994465,1.337598,0.4381514,0.8109169,10.77055,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875882061009545216,0.01411224,7.332688e-06,0,GALAXY,BROADLINE,8.6746518702885
30,1237661059574399672,50.0646761465794,41.398649050392,13.50894,13.1326,1.543639,2.111705,1.879623,1.020418,1.549163,0.5287447,0.8592052,14.29415,35253360661012,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOTCHECKED INTERP COSMIC_RAY MANYPETRO CHILD EDGE ,1875796573980485632,0.02241023,6.142608e-06,0,GALAXY,BROADLINE,8.67761500377584
32,1237661059574399387,50.1374704982234,41.5741245778116,14.72101,14.33985,1.492349,2.040944,1.832638,1.027043,1.527342,0.5002985,0.8055944,3.219527,35219000393744,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP CHILD ,1874766056455694336,0.01055127,5.784582e-06,0,GALAXY,,9.31659102745098
33,1237661055281725847,49.7421128001445,41.4701208499646,12.84564,12.46924,1.631058,2.18748,1.967099,1.070863,1.598623,0.5277605,0.8962364,12.62068,35184641708048,DEBLENDED_AT_EDGE BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1875800972026996736,0.01660994,7.583068e-06,16,GALAXY,,9.54956383818195
35,1237661059574268534,49.8239777063448,41.6443501818367,14.10649,13.7129,1.500774,2.065474,1.852164,0.9937582,1.466589,0.4728308,0.8584061,9.670523,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875886733933963264,0.02062524,6.16768e-06,0,GALAXY,,9.61014903443944
37,1237661055818662378,50.0919190508431,41.6409169263223,14.50608,14.12454,0.2737814,0.8519583,0.6144123,0.4240417,0.5109062,0.08686447,0.1903706,20.99753,1161118907241048,DEBLEND_DEGENERATE DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY MANYPETRO NODEBLEND CHILD BLENDED ,1874764407188252672,0.01302578,4.451671e-06,0,GALAXY,STARBURST,10.0646886541463
38,1237661059574399831,50.0873396454365,41.3737384235078,14.85967,14.47911,1.552936,2.097691,1.89269,1.018142,1.522794,0.504652,0.874548,9.587603,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875793550323509248,0.02366284,7.396022e-06,0,GALAXY,,10.4847361961436
40,1237661059574269233,49.7588315429406,41.6199281627887,15.59839,15.20789,1.446657,1.950802,1.79528,0.9678106,1.434759,0.4669485,0.8274698,13.79018,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875885084666521600,0.01848959,1.525733e-05,0,GALAXY,,10.5929310509257
42,1237661055281857482,50.0039643129297,41.3409569288291,17.69603,17.31619,1.801857,2.224802,2.140968,1.194695,1.712109,0.5174141,0.9462738,4.11813,35259802583056,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 INTERP CHILD ,1874672872845240320,0.1361599,1.990193e-05,0,GALAXY,,10.6450204723178
43,1237661059574400342,50.193912182851,41.5120604175913,17.53432,17.14137,0.7894427,1.172785,1.140261,0.569725,1.000267,0.430542,0.5705357,3.047251,35253360132624,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP MANYPETRO CHILD ,1874777326449879040,0.08025642,6.716433e-06,0,GALAXY,STARBURST,11.107071809029
44,1237661055281856613,49.9174877741773,41.3291991253375,14.62969,14.25272,1.54145,2.083092,1.878002,1.000623,1.489584,0.4889612,0.8773794,6.052194,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875796024224671744,0.02044216,6.383031e-06,0,GALAXY,,11.1120537276894
46,1237661055281856927,50.072450372141,41.34893080365,15.09798,14.71671,1.511586,1.941353,1.851982,0.985074,1.459428,0.4743538,0.8669081,5.054067,35253361971220,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED NOTCHECKED SATURATED INTERP COSMIC_RAY CHILD EDGE ,1875795749346764800,0.01719512,6.907025e-06,0,GALAXY,,11.358959569913
48,1237661055818727765,50.1886404627776,41.5706873310953,17.64591,17.26407,0.4701643,1.287786,0.8110638,0.5137177,0.7179985,0.2042809,0.2973461,1.151147,35253360001040,DEBLENDED_AT_EDGE STATIONARY BINNED1 CHILD ,1874776776694065152,-0.0001009152,1.146296e-05,0,STAR,G0,11.4012949060747
49,1237661055281726031,49.6867314009884,41.5114441292928,16.06735,15.67685,1.416461,2.040627,1.765086,0.9711704,1.472507,0.5013361,0.7939157,9.619736,35253360923152,DEBLENDED_AT_EDGE STATIONARY BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY MANYPETRO CHILD ,1874758359874299904,0.02392331,1.252859e-05,0,GALAXY,,11.680502274532
51,1237661055281725866,49.6881724299768,41.4887639647977,14.22095,13.83129,0.9544546,1.873409,1.302334,0.6657572,1.070255,0.4044981,0.6365767,20.47791,35287721185296,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1875814441044436992,0.01076766,7.950389e-06,0,GALAXY,BROADLINE,11.7087730815892
53,1237661122388033579,49.7970434369399,41.3531956433367,13.70568,13.32791,1.602805,2.093848,1.940073,1.026119,1.550663,0.5245438,0.9139538,9.039566,35255507619888,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY PEAKCENTER CHILD ,1875803445928159232,0.01987928,7.473562e-06,0,GALAXY,,11.720537302435
55,1237661059574268293,49.7414833647509,41.6350645496723,15.53891,15.14493,1.456656,2.038477,1.808393,0.9768429,1.450929,0.4740858,0.8315496,9.159197,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875883435399079936,0.01361777,9.305841e-06,0,GALAXY,BROADLINE,11.7643436471971
57,1237661055818662544,50.1240046283114,41.6598757568739,16.47651,16.09417,0.9534805,1.750038,1.294831,0.794096,1.11878,0.3246841,0.5007353,5.528512,35287719875088,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY MANYPETRO CHILD ,1874761658409183232,1.432889e-05,7.72366e-06,0,STAR,K1,11.8687886553763
58,1237661055281725850,49.6862761715124,41.4674857522114,12.98249,12.5936,1.972604,2.095016,2.319798,1.742271,2.277477,0.5352058,0.5775261,16.12713,35219001708560,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1875813891288623104,0.01764006,6.639041e-06,0,GALAXY,,12.0202236436249
59,1237661059574464562,50.1757659807148,41.4039750851123,14.68031,14.2935,1.472152,1.963584,1.817485,1.07499,1.581636,0.5066462,0.7424946,10.30966,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875791626178160640,0.01248846,7.071213e-06,0,GALAXY,BROADLINE,12.2050697699906
61,1237661055281726251,49.6974774994161,41.428373591989,14.91461,14.52694,1.455597,1.982896,1.801706,0.9392157,1.444457,0.5052414,0.8624907,10.64839,35259803897872,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1875814990800250880,0.02002686,6.69753e-06,0,GALAXY,,12.3037598535452
63,1237661059574269120,49.6732849511774,41.5693368326331,18.32337,17.92836,2.435409,1.881937,2.788069,1.166231,2.194372,1.028141,1.621838,1.00158,105589892055056,DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP CHILD ,1875883985154893824,-0.000115774,8.997086e-06,0,STAR,K7,12.7338979875779
64,1237661055281726775,49.7128793782692,41.3923537508308,15.7914,15.40345,1.365721,1.820311,1.712078,0.921133,1.378018,0.4568853,0.7909451,14.31303,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875810042997925888,0.02062985,1.716699e-05,0,GALAXY,,12.769127015643
65,1237661055281856551,49.8831911264325,41.3042338061537,16.58471,16.20715,1.482758,1.719509,1.819835,0.9899998,1.478827,0.4888268,0.8298349,6.976413,35253360398352,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875800147393275904,0.1159597,1.434014e-05,0,GALAXY,,12.853719737192
66,1237661055818727654,50.2112693947652,41.6004244597273,13.8103,13.43711,1.560837,2.131902,1.894016,1.012523,1.534528,0.5220051,0.8814936,8.377485,35219001708560,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1874775677182437376,0.01763928,5.6626e-06,0,GALAXY,BROADLINE,12.9828122772071
67,1237661059574399996,50.2408881196432,41.506345029876,14.10621,13.70946,1.698385,2.205724,2.052597,1.106907,1.652067,0.5451603,0.9456902,4.883432,193514315059216,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER BINNED1 INTERP COSMIC_RAY CHILD ,1875792725689788416,0.01666073,7.355008e-06,0,GALAXY,,13.2242534772667
68,1237661059574464709,50.235725066588,41.4388504401502,17.22679,16.83444,1.566734,1.579163,1.917015,1.254539,1.728994,0.4744549,0.6624756,4.231046,35184640655376,DEBLENDED_AT_EDGE BINNED1 INTERP CHILD ,1874666825531287552,0.02010384,1.35945e-05,0,GALAXY,,13.7353679850041
69,1237661055818727967,50.2517165750559,41.562463684849,14.17586,13.79649,1.605595,2.121452,1.944288,1.009282,1.528355,0.5190725,0.9350061,4.893107,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874776226938251264,0.01569851,6.055865e-06,0,GALAXY,BROADLINE,14.0151615290977
70,1237661055281856814,49.9356066702234,41.2780792750039,14.07128,13.70249,1.440444,2.199902,1.769689,0.9771042,1.514219,0.5371151,0.7925844,10.54811,35253361446928,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1874669574310356992,0.01835726,5.566254e-06,0,GALAXY,,14.1100806235427
71,1237661055281857617,50.0552790374181,41.2868743261062,15.66404,15.28869,1.01742,1.68858,1.352522,0.7417221,1.10307,0.3613482,0.6107998,7.559559,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875797673492113408,0.02367585,8.420391e-06,0,GALAXY,,14.4264175834103
73,1237661059574464751,50.2054820731759,41.3706843348946,13.95962,13.5749,1.574636,2.077209,1.918101,1.057751,1.591048,0.5332975,0.8603506,11.61895,193583034535952,PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875792175933974528,0.01648682,6.059764e-06,0,GALAXY,BROADLINE,14.4392334532375
75,1237661055281856829,49.9449358444632,41.270382598523,15.32725,14.96267,1.284346,4.177626,1.609835,0.8699551,1.393244,0.5232887,0.7398796,8.534038,176025209540696,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY NODEBLEND CHILD BLENDED ,1875794100079323136,0.01526537,9.351438e-06,0,GALAXY,BROADLINE,14.563260584782
76,1237661059574268044,49.7427700516971,41.7023783448801,14.07023,13.67928,1.490713,2.047229,1.839748,0.9645224,1.444725,0.4802027,0.875226,12.34993,35287719874576,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875882335887452160,0.01408154,6.682668e-06,0,GALAXY,BROADLINE,14.5833825459599
78,1237661059574465600,50.2558101939355,41.4344626658023,16.11798,15.72707,1.442378,1.9737,1.791376,0.9422817,1.414671,0.4723892,0.8490944,3.210217,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875791351300253696,0.01334708,9.055558e-06,0,GALAXY,BROADLINE,14.675360983057
80,1237661059574269035,49.7701555813497,41.7192215795183,17.38575,16.99793,1.960007,2.524347,2.306242,1.378201,1.951666,0.5734653,0.9280415,1.151198,68987912192,STATIONARY BINNED1 ,1875882610765359104,-0.0001750703,8.757107e-06,0,STAR,K7,14.6854796647757
82,1237661055818663393,50.1775974531424,41.6947119969866,17.83062,17.44683,1.665349,2.16037,2.007986,1.113808,1.621389,0.5075817,0.8941784,2.548035,35259802587152,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875901027585124352,0.08573911,2.26134e-05,0,GALAXY,,15.0350346682576
83,1237661059574464845,50.2592785121609,41.4094752214626,14.42319,14.03581,1.573547,2.128593,1.919393,1.001338,1.521634,0.5202961,0.9180546,11.7159,35184640659984,DEBLENDED_AT_EDGE BINNED1 INTERP COSMIC_RAY MANYPETRO CHILD ,1875793275445602304,0.01670804,6.696649e-06,0,GALAXY,,15.3686469546152
85,1237661055818662301,50.1366005911547,41.7320222485647,17.6609,17.26142,0.7197602,1.273672,1.076412,0.6072483,0.8735256,0.2662773,0.4691639,15.30831,35253360136720,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY MANYPETRO CHILD ,1875901302463031296,-0.0003861907,1.485159e-05,0,STAR,F9,15.6551524036026
86,1237661059574203221,49.6621494298188,41.6689425891096,14.99284,14.60015,1.490946,2.126797,1.841526,0.9684992,1.45735,0.4888506,0.8730268,7.489239,144150441435992080,MAYBE_EGHOST DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875884260032800768,0.01432167,7.168841e-06,0,GALAXY,BROADLINE,15.8265189447526
88,1237661055281856711,49.8805021876482,41.2520151603596,17.72289,17.35348,1.352062,2.571918,1.681871,0.7098618,1.490984,0.7811222,0.9720097,2.089266,175990848753680,PSF_FLUX_INTERP DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875803171050252288,-0.000168278,7.81407e-06,0,STAR,K5,15.9460419062519
89,1237661055281856813,50.006822919519,41.2511539904146,13.19592,12.83356,1.56301,2.186331,1.886522,0.9879456,1.512414,0.5244684,0.8985767,22.60264,35253361446928,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1874667650165008384,0.01467874,5.786704e-06,0,GALAXY,BROADLINE,15.9481226370219
90,1237670960021505209,50.036430938291,41.7746219007254,17.46084,17.06035,1.088861,1.745869,1.446409,0.8609638,1.233713,0.3727493,0.5854454,1.572295,35221147881488,DEBLENDED_AT_EDGE BAD_MOVING_FIT MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875901852218845184,-4.117345e-05,7.748794e-06,0,STAR,K3,16.198894488739
91,1237661055281856842,50.0437796548105,41.2456151039519,17.1322,16.76999,1.313276,1.610315,1.636646,0.8405857,1.332909,0.4923229,0.7960606,4.875599,35219001446416,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874669849188263936,0.08449859,5.778272e-06,0,GALAXY,STARFORMING,16.6335685580782
92,1237661055281725581,49.5788652894655,41.4693671588608,15.03359,14.62902,1.516715,2.048453,1.877904,0.9564342,1.492163,0.5357285,0.9214697,5.641702,35219000659984,DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SATURATED INTERP COSMIC_RAY CHILD ,1875813066654902272,0.01171333,6.747739e-06,0,GALAXY,BROADLINE,16.738685375394
94,1237661055281856999,49.9156143488672,41.2329477624084,15.8727,15.51889,0.897733,1.877981,1.213608,0.804019,1.068621,0.2646017,0.4095888,1.493239,52882053398544,DEBLENDED_AT_EDGE INTERP_CENTER STATIONARY BAD_MOVING_FIT MOVED BINNED1 INTERP CHILD ,1874670124066170880,1.629406e-05,6.799562e-06,0,STAR,K1,16.8673050379038
95,1237661055818663051,50.1336678595388,41.7584707117627,14.89469,14.48716,1.512695,2.018023,1.876528,0.9848356,1.503143,0.5183077,0.8916922,7.517909,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875900477829310464,0.01689081,7.025794e-06,0,GALAXY,,16.9422204753339
96,1237661055281725940,49.5937534686477,41.4097756365822,13.57921,13.18311,1.629182,2.013068,1.982812,0.9969893,1.531616,0.534627,0.9858227,14.07704,35253361446928,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1875813616410716160,0.02153751,6.94314e-06,0,GALAXY,BROADLINE,17.0378141295213
98,1237661055818662522,50.1916426157601,41.7349372590753,15.00019,14.59949,1.457924,2.005819,1.815657,0.9611349,1.451322,0.4901867,0.8545218,9.608946,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875900752707217408,0.01783839,6.809911e-06,0,GALAXY,,17.2584248410254
99,1237661055818793141,50.3361938102496,41.4958685640523,19.22542,18.83419,-5.146647,2.329906,-4.797365,-1.195768,-6.332022,-5.136253,-3.601597,2.873065,246290873192792,PSF_FLUX_INTERP DEBLEND_NOPEAK DEBLENDED_AT_EDGE BINNED1 INTERP COSMIC_RAY NOPETRO NODEBLEND CHILD BLENDED ,1874656380170823680,-0.0001449448,1.041815e-05,0,STAR,G2,17.5321012328576
100,1237661059574465017,50.336836986607,41.46005973571,13.7975,13.40939,1.573306,2.188169,1.919808,1.023425,1.494902,0.4714766,0.8963833,7.689026,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1874654181147568128,0.01528424,5.751711e-06,0,GALAXY,BROADLINE,17.8217774962118
101,1237661122387968730,49.6152258885157,41.3213174238366,16.6175,16.21293,1.41521,1.95513,1.776405,0.9358177,1.428982,0.4931641,0.8405876,6.027709,35253360132184,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP NODEBLEND CHILD BLENDED ,1874673972356868096,0.01878707,1.431673e-05,0,GALAXY,,18.8375721461751
102,1237661059574465263,50.2855776364297,41.3230425309137,16.23157,15.85966,1.42196,1.448732,1.753997,1.096281,1.454597,0.3583155,0.6577158,1.349647,72163181782503440,MAYBE_CR DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1874663252118497280,0.000163701,7.559764e-06,0,STAR,F9,19.0400680308407
103,1237661059574202928,49.5750012566803,41.6753256012749,14.98746,14.59876,1.268078,1.596935,1.615104,0.8549957,1.273089,0.4180937,0.760108,9.636147,52811187228688,DEBLENDED_AT_EDGE INTERP_CENTER BAD_MOVING_FIT BINNED1 NOTCHECKED SATURATED INTERP COSMIC_RAY CHILD ,1875880411742103552,0.02875331,1.248856e-05,0,GALAXY,STARFORMING,19.3112431060505
105,1237661055281661215,49.5244020175459,41.5813582968019,16.32676,15.91833,1.39803,2.016371,1.76267,0.971529,1.424766,0.4532366,0.7911406,10.10991,35253360136536,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY NOPETRO NODEBLEND CHILD BLENDED ,1874752587438254080,0.01919282,1.925511e-05,0,GALAXY,,19.4002972505313
106,1237661059574465270,50.2558086297081,41.285926984341,15.86735,15.50187,0.903991,2.032755,1.230284,0.8027582,1.086218,0.2834597,0.4275255,1.143656,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875793000567695360,-9.757149e-05,6.847207e-06,0,STAR,K1,19.4764328734385
108,1237670960021569639,50.0301282412048,41.8328072051585,14.10052,13.68576,1.470078,2.012901,1.840368,0.9757557,1.490275,0.5145197,0.8646126,19.91234,35253361184784,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED INTERP COSMIC_RAY CHILD ,1874763032798717952,0.01407263,6.621662e-06,0,GALAXY,BROADLINE,19.5434339908819
109,1237661055281923151,50.1414808232528,41.2218467085331,16.49442,16.13778,1.37242,1.796751,1.690829,0.9069672,1.340748,0.4337807,0.7838621,9.616655,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1875788602521184256,0.02274671,1.611741e-05,0,GALAXY,,19.5527299562725
110,1237661055818793134,50.3802762257035,41.5474536325146,16.2903,15.90471,1.307011,1.813486,1.651258,0.8859196,1.32501,0.4390907,0.7653379,3.881792,35253360132112,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP CHILD ,1874772653525460992,0.01288137,8.307731e-06,0,GALAXY,,19.583407674779
111,1237661055818531427,49.7268858637923,41.8030385429612,15.50165,15.10497,1.493583,2.122885,1.847733,0.9896717,1.488865,0.4991932,0.8580608,6.935075,35253361446928,DEBLENDED_AT_EDGE STATIONARY BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY CHILD ,1875883710276986880,0.01399941,7.565905e-06,0,GALAXY,BROADLINE,19.9931651874253
